#OTU ID	A_01	A_02	A_03	A_04	A_05	A_06	A_07	A_08	A_09	A_10	B_01	B_02	B_03	B_04	B_05	B_06	C_01	C_02	C_03	C_04	C_05	C_06	C_07	C_08	C_09	C_10	C_11	D_01	D_02	D_03
2dc2abfa7ee6556dc76b9fe22868bef6	14	0	0	0	6	0	0	0	0	0	0	8	0	9	7	25	3	0	10	0	6	0	7	4	4	16	0	5	0	0
4ff8f0e4323b5adedf3701b0a24a7279	5	6	3	3	8	7	0	0	7	0	0	4	0	5	0	0	0	13	0	30	0	9	0	0	0	0	0	5	22	2
58c8553f35829bbb447477fe72c85075	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
a079f86fd78b803d84aac8ecfbfc2b4b	0	0	9	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
3f5b3549d66ac351ccac8ad921cb22ec	0	12	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	36	1	0	0	0	4	0	0
b6fd84f43e4414f88a899c1f78d58218	0	0	0	0	0	0	25	0	0	0	0	24	0	0	0	0	2	0	3	0	0	0	0	0	0	23	0	4	4	6
95206860fbe7301430ba64e9bd935554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
f252fbb124aa0efc32c12de291a1e6ee	0	8	0	0	0	5	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
e023a3b7b38a1d4b0034f64e87a99f5a	0	2	0	0	0	8	0	0	0	0	8	0	0	28	3	17	0	15	8	0	0	0	86	0	0	0	0	4	0	0
8a39e1f46c356884092fe60f053d8940	0	0	10	0	1	0	0	0	10	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
9575c5984c63c896df37d4e0879996dd	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
1ffc0ad2b721f37a067e90fefceeeaca	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0
ce8e61193c1663aca19f4591c0432406	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0
10e33469d2f2c7b94966679992765238	16	5	0	0	2	3	13	10	0	32	0	48	12	10	15	0	15	11	9	0	13	11	20	0	1	0	0	3	0	12
2015903f1470555eb01f5d70ac2ddb9c	0	3	0	0	0	0	13	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0
cb9b0bd47e3b14c0ce7334dc38718d2f	7	7	0	0	0	11	0	4	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	1	0	0	1	3	0	0
7b39c4dad803a252481f735f7b1c5a25	0	1	0	0	0	0	50	1	0	0	0	27	0	0	0	0	2	0	0	0	0	0	17	0	0	0	0	3	2	0
0741f9b3955e1ccef0ab09de8ead41a9	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
83ca52f721e6e73e7aa0605b74a5e9ac	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	3	17	0
2f45053eb282c292a25e4186e5c2d45d	0	14	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	2	0	0	0	0	0	3	4	0
bcb280e7ef7dcd2e1a2356ebe784b642	0	0	15	0	0	0	0	0	0	0	5	0	11	3	0	13	16	10	9	0	0	6	6	0	0	0	0	2	0	0
9a0df22d9696e4e7aab9d01c95374e7a	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
17ca3b9d48145c44a69750c74135461e	0	0	0	0	0	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0
dddee06d047d93f65431c4f85135baee	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	0	0	0	3	2	0	0
b806b647ada38810e9b7424b506b86b4	0	0	0	0	0	0	0	0	0	0	0	10	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0
