OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
5000eb0beb39a26d0fde768821f2a096	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Eikenella	g__Eikenella; s__
8a77aa33886748d198ae418dba82ede4	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Megasphaera	g__Megasphaera; s__
a82f1feaba010a22c9f1497192582ca9	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales; f__	o__Clostridiales; f__; g__	o__Clostridiales; f__; g__; s__
cdb746a36510bd2876a74aed50584fda	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__luteciae
9c8c4ab8a32e43dd0a8bfcde73271834	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__luteciae
977b587df7567e43e2615310fa6ee373	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__endodontalis
e32dd86952e47ccf23984b030a836c91	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Oribacterium	g__Oribacterium; s__
a16c64d9d407ee6052281295d1d89896	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	g__Prevotella; s__
b833c60b8c8979f3513a00cb9997914e	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	f__S24-7; g__	f__S24-7; g__; s__
b73593ae6040df418c7a3687e33917ba	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	f__Ruminococcaceae; g__	f__Ruminococcaceae; g__; s__
9a04ff955994cd9fcca7110f0646cefa	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__longum
40bbaf7333325cac89fef70bc5b18c7c	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__melaninogenica
161adbddb1afc0684eaf31660cf7a947	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__melaninogenica
4703dfc5698a264790eb7c8ee12c6d96	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	g__Prevotella; s__
252a40aef1dbe17fa7521f6e674e6522	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Oribacterium	g__Oribacterium; s__
d9c93e1be9051167a7a996b959fb4601	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae; g__	f__Lachnospiraceae; g__; s__
575793afa22344bbd76f6332c8179629	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	g__Rothia; s__
fe80d8794896a7431f6a4d8781854a04	k__Bacteria	p__TM7	c__TM7-3	o__CW040	f__F16	f__F16; g__	f__F16; g__; s__
7a90ecfe1bb96c21313eb8a72c7ae438	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales; f__	o__Clostridiales; f__; g__	o__Clostridiales; f__; g__; s__
e5788922fcc50314d0795cce4eacbeef	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	g__Porphyromonas; s__
c2f3a6ff26a518d89c69e37588a79c54	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Kingella	g__Kingella; s__
057fcc84dcd19b574766d64d8408839e	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	g__Fusobacterium; s__
350d33fb2097fb7431de5c704d490a10	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	g__Capnocytophaga; s__
23303103910807aa7c0e73b6ed418f5b	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	g__Prevotella; s__
bad50cfbeba38727dbbfab3baf4b1c1f	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	g__Lactobacillus; s__
bc9ffb7630fcf5b68f2d1cffc7e1882c	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae; g__	f__Lachnospiraceae; g__; s__
342e7fe389d47b5059245a8ef4934bae	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	f__Coriobacteriaceae; g__	f__Coriobacteriaceae; g__; s__
835b03cf03065f4c18f1f2dbac99710b	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	g__[Ruminococcus]; s__
2371ac178c792fddc625b9ecc13efe8b	k__Bacteria	p__Firmicutes	p__Firmicutes; c__	p__Firmicutes; c__; o__	p__Firmicutes; c__; o__; f__	p__Firmicutes; c__; o__; f__; g__	p__Firmicutes; c__; o__; f__; g__; s__
69b8d42703b9ad96474dbfa90bb7f71b	k__Bacteria	p__Firmicutes	p__Firmicutes; c__	p__Firmicutes; c__; o__	p__Firmicutes; c__; o__; f__	p__Firmicutes; c__; o__; f__; g__	p__Firmicutes; c__; o__; f__; g__; s__
ac058188129302a3f4170227edff9a82	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae; g__	f__Lachnospiraceae; g__; s__
e58b87b5dd81d8d732df5d8c49c78bee	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales; f__	o__Clostridiales; f__; g__	o__Clostridiales; f__; g__; s__
40db3e201aa34b3222f1a361a5761129	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales; f__	o__Clostridiales; f__; g__	o__Clostridiales; f__; g__; s__
